feature,importance
rolling_distress_mean,0.2402652218080792
rolling_distress_max,0.20274332534712813
sleep_quality_latest,0.09762659642907029
fatigue_latest,0.06815927744430039
coping_ability_latest,0.05682376956836008
trend_slope,0.048866867594571886
overwhelm_latest,0.038639974460142154
social_support_latest,0.0349964677563974
emotional_distress_latest,0.03377259119732276
previous_distress,0.03290162620751942
distress_delta,0.029125712293358197
days_until_hearing_latest,0.020948482681777715
sleep_delta,0.018839194641045148
self_harm_indicator_latest,0.016933480183498946
postponement_days_latest,0.016787500827991585
sentiment_score,0.010551083510275752
case_stage_score,0.010089239846636278
checkin_count,0.009362211032345353
negative_sentiment,0.008893246825362055
worsening_checkins,0.0017019168908205128
crisis_keyword_flag,0.0006504331592089592
protection_needed_latest,0.0005731636493600227
threat_reported_latest,0.0004424601451315256
relief_pending_latest,0.00026111377944783683
distress_frequency_latest,4.5042720848156475e-05
hearing_postponed_latest,0.0
legal_aid_pending_latest,0.0
